Computational times of the three spliting techniques when system size (n) >1024.
For n<= 1024, only PCR-Penta is used without any spliting.
m -> batch size
Splitting 1 -> shared_cached_shared_tiles
Splitting 2 -> global_cached_shared_tiles
Splitting 3 -> global_cached_global_tiles

m     n    Splitting 1  Splitting 2  Splitting 3
624 	 8192 	 42.177773 	 45.134895 	 52.562439
624 	 16384 	 75.546204 	 80.362953 	 89.953308
624 	 32768 	 156.733093 	 171.741257 	 199.679138
624 	 65536 	 339.829895 	 375.954254 	 444.582184
624 	 131072 	 756.618958 	 811.979248 	 981.200867
832 	 256 	 0.521613 	 0.522592 	 0.521907
832 	 512 	 1.613648 	 1.653040 	 1.654480
832 	 1024 	 3.870678 	 3.871609 	 3.869785
832 	 2048 	 9.918831 	 10.162538 	 11.120410
832 	 4096 	 24.721012 	 25.296381 	 28.966557
832 	 8192 	 48.008232 	 51.252441 	 58.791077
832 	 16384 	 97.542839 	 104.893738 	 117.473343
832 	 32768 	 208.860153 	 230.371490 	 264.984802
832 	 65536 	 454.531189 	 501.669739 	 593.155457
832 	 131072 	 1015.310669 	 1088.029541 	 1314.173340
1040 	 256 	 0.719917 	 0.750838 	 0.749616
1040 	 512 	 2.042621 	 2.043792 	 2.039520
1040 	 1024 	 4.825491 	 4.825398 	 4.823296
1040 	 2048 	 12.373322 	 12.664474 	 13.869257
1040 	 4096 	 30.851627 	 31.549637 	 36.196671
1040 	 8192 	 54.521282 	 56.910290 	 65.400291
1040 	 16384 	 120.120621 	 129.977493 	 146.893600
1040 	 32768 	 261.230774 	 287.316528 	 331.780579
1040 	 65536 	 567.196594 	 624.937378 	 740.402710
1040 	 131072 	 1261.053101 	 1350.369751 	 1649.375977
1248 	 256 	 0.783536 	 0.783139 	 0.783814
1248 	 512 	 2.394797 	 2.441159 	 2.441114
1248 	 1024 	 5.786196 	 5.784832 	 5.787184
1248 	 2048 	 14.837558 	 15.204882 	 16.654547
1248 	 4096 	 36.950462 	 37.867344 	 43.451862
1248 	 8192 	 62.280506 	 64.969101 	 72.895874
1248 	 16384 	 143.956848 	 154.964081 	 177.101105
1248 	 32768 	 313.766632 	 343.861847 	 398.548157
1248 	 65536 	 681.294312 	 744.077515 	 888.371277
1248 	 131072 	 1517.513184 	 1605.627197 	 1973.147461
1456 	 256 	 1.036662 	 1.037241 	 1.036848
1456 	 512 	 2.840019 	 2.839622 	 2.838934
1456 	 1024 	 6.750016 	 6.752765 	 6.754387
1456 	 2048 	 17.294041 	 17.723284 	 19.400984
1456 	 4096 	 43.131477 	 44.222309 	 50.659134
1456 	 8192 	 71.930145 	 74.688820 	 84.075974
1456 	 16384 	 167.983551 	 181.776764 	 205.323639
1456 	 32768 	 366.836029 	 401.809418 	 464.629883
1456 	 65536 	 795.129761 	 872.034546 	 1037.404175
1456 	 131072 	 0.000000 	 0.000000 	 0.000000
1664 	 256 	 1.177325 	 1.177696 	 1.176890
1664 	 512 	 3.241683 	 3.244992 	 3.243245
1664 	 1024 	 7.712880 	 7.708189 	 7.707437
1664 	 2048 	 19.763462 	 20.218395 	 22.153036
1664 	 4096 	 45.523716 	 46.716866 	 53.269482
1664 	 8192 	 81.079094 	 85.176834 	 95.865936
1664 	 16384 	 192.021729 	 207.616058 	 234.806076
1664 	 32768 	 419.334625 	 458.083679 	 532.028748
1664 	 65536 	 910.219238 	 993.120605 	 1186.946411
1664 	 131072 	 0.000000 	 0.000000 	 0.000000
1872 	 256 	 1.319526 	 1.319414 	 1.320653
1872 	 512 	 3.633897 	 3.634221 	 3.635795
1872 	 1024 	 8.665609 	 8.660717 	 8.657869
1872 	 2048 	 22.207636 	 22.744738 	 24.895887
1872 	 4096 	 47.236393 	 48.435154 	 54.937153
1872 	 8192 	 89.346581 	 93.265526 	 105.533485
1872 	 16384 	 216.401566 	 232.907990 	 264.261871
1872 	 32768 	 471.795166 	 513.556702 	 597.522095
1872 	 65536 	 1022.925964 	 1107.033813 	 1333.196899
1872 	 131072 	 0.000000 	 0.000000 	 0.000000
2080 	 256 	 1.402826 	 1.462909 	 1.463363
2080 	 512 	 4.038330 	 4.041059 	 4.033520
2080 	 1024 	 9.630166 	 9.626637 	 9.625787
2080 	 2048 	 24.658714 	 25.244659 	 27.652058
2080 	 4096 	 49.713158 	 50.051701 	 56.973858
2080 	 8192 	 98.667702 	 103.285812 	 117.182388
2080 	 16384 	 240.183228 	 259.509827 	 293.688416
2080 	 32768 	 523.151794 	 570.966003 	 662.331177
2080 	 65536 	 1136.375732 	 1236.387451 	 1490.399292
2080 	 131072 	 0.000000 	 0.000000 	 0.000000
